1760719025.720796 server started (17848): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1760719025.720829 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Wed Feb 21 21:51:37 PST 2024; root:xnu-10063.101.15~2/RELEASE_ARM64_T8112
1760719025.720835 using libevent 2.1.12-stable select
1760719025.720842 using utf8proc 2.11.0
1760719025.720847 using ncurses 6.5 20240427
1760719025.721054 input_key_build: 0x10e1b3 (KP4) is 4
1760719025.721058 input_key_build: 0x10e1b4 (KP5) is 5
1760719025.721061 input_key_build: 0x10e1b5 (KP6) is 6
1760719025.721065 input_key_build: 0x10e1b6 (KP1) is 1
1760719025.721069 input_key_build: 0x10e1b7 (KP2) is 2
1760719025.721072 input_key_build: 0x10e1b8 (KP3) is 3
1760719025.721076 input_key_build: 0x10e1b9 (KPEnter) is \n
1760719025.721079 input_key_build: 0x10e1ba (KP0) is 0
1760719025.721083 input_key_build: 0x10e1bb (KP.) is .
1760719025.721087 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1760719025.721091 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1760719025.721095 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1760719025.721098 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1760719025.721102 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1760719025.721106 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1760719025.721109 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1760719025.721113 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1760719025.721117 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1760719025.721120 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1760719025.721124 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1760719025.721128 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1760719025.721131 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1760719025.721135 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1760719025.721139 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1760719025.721143 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1760719025.721146 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1760719025.721150 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1760719025.721154 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1760719025.721163 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1760719025.721166 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1760719025.721169 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1760719025.721172 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1760719025.721175 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1760719025.721178 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1760719025.721180 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1760719025.721183 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1760719025.721186 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1760719025.721188 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1760719025.721191 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1760719025.721194 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1760719025.721196 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1760719025.721199 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1760719025.721202 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1760719025.721205 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1760719025.721207 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1760719025.721210 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1760719025.721213 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1760719025.721215 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1760719025.721218 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1760719025.721221 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1760719025.721224 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1760719025.721226 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1760719025.721229 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1760719025.721232 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1760719025.721234 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1760719025.721237 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1760719025.721240 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1760719025.721242 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1760719025.721245 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1760719025.721248 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1760719025.721250 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1760719025.721253 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1760719025.721256 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1760719025.721259 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1760719025.721262 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1760719025.721264 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1760719025.721267 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1760719025.721270 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1760719025.721273 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1760719025.721275 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1760719025.721278 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1760719025.721281 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1760719025.721283 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1760719025.721286 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1760719025.721289 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1760719025.721292 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1760719025.721295 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1760719025.721297 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1760719025.721300 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1760719025.721303 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1760719025.721305 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1760719025.721308 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1760719025.721311 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1760719025.721313 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1760719025.721316 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1760719025.721323 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1760719025.721326 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1760719025.721329 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1760719025.721332 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1760719025.721334 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1760719025.721337 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1760719025.721340 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1760719025.721342 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1760719025.721345 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1760719025.721348 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1760719025.721350 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1760719025.721353 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1760719025.721356 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1760719025.721358 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1760719025.721361 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1760719025.721364 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1760719025.721366 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1760719025.721369 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1760719025.721372 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1760719025.721375 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1760719025.721377 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1760719025.721380 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1760719025.721383 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1760719025.721385 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1760719025.721388 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1760719025.721391 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1760719025.721394 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1760719025.721396 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1760719025.721399 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1760719025.721402 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1760719025.721404 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1760719025.721407 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1760719025.721410 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1760719025.721412 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1760719025.721415 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1760719025.721418 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1760719025.721420 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1760719025.721423 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1760719025.721426 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1760719025.721428 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1760719025.721431 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1760719025.721434 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1760719025.721437 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1760719025.721440 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1760719025.721442 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1760719025.721445 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1760719025.721448 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1760719025.721450 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1760719025.721453 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1760719025.721456 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1760719025.721458 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1760719025.721461 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1760719025.721464 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1760719025.721466 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1760719025.721473 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1760719025.721476 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1760719025.721478 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1760719025.721481 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1760719025.721484 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1760719025.721486 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1760719025.721489 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1760719025.721492 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1760719025.721494 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1760719025.721497 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1760719025.721500 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1760719025.721502 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1760719025.721505 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1760719025.721507 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1760719025.721510 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1760719025.721513 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1760719025.721515 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1760719025.721518 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1760719025.721521 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1760719025.721523 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1760719025.721526 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1760719025.721529 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1760719025.721531 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1760719025.721534 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1760719025.721537 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1760719025.721539 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1760719025.721542 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1760719025.721544 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1760719025.721547 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1760719025.721550 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1760719025.721552 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1760719025.721555 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1760719025.721558 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1760719025.721561 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1760719025.721564 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1760719025.721567 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1760719025.721569 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1760719025.721572 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1760719025.721575 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1760719025.721578 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1760719025.721580 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1760719025.721583 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1760719025.721586 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1760719025.721588 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1760719025.721616 yylex_token: end at WS
1760719025.721618 yylex_token: bind
1760719025.721621 yylex_token: end at WS
1760719025.721623 yylex_token: -N
1760719025.721625 yylex_token: end at WS
1760719025.721627 yylex_token: Send the prefix key
1760719025.721629 yylex_token: end at WS
1760719025.721631 yylex_token: C-b
1760719025.721633 yylex_token: end at WS
1760719025.721635 yylex_token: send-prefix
1760719025.721638 cmd_parse_build_commands 0:0: bind
1760719025.721640 cmd_parse_build_commands 0:1: -N
1760719025.721642 cmd_parse_build_commands 0:2: Send the prefix key
1760719025.721644 cmd_parse_build_commands 0:3: C-b
1760719025.721646 cmd_parse_build_commands 0:4 0:0: send-prefix
1760719025.721665 cmd_parse_build_commands 0:0: send-prefix
1760719025.721670 args_parse: flags end at 1 of 1
1760719025.721673 cmd_parse_build_commands: send-prefix
1760719025.721675 args_parse_flags: next -N
1760719025.721677 args_parse_flag_argument: -N = Send the prefix key
1760719025.721679 args_parse_flags: next C-b
1760719025.721681 args_parse: flags end at 3 of 5
1760719025.721684 args_parse: 3 = C-b (type STRING)
1760719025.721687 args_parse: 4 = send-prefix (type COMMANDS)
1760719025.721703 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1760719025.721719 cmdq_get_command: [bind-key/0x13b807e50] group 2
1760719025.721722 cmdq_append <global>: [bind-key/0x13b807e50]
1760719025.721724 yylex_token: end at WS
1760719025.721726 yylex_token: bind
1760719025.721728 yylex_token: end at WS
1760719025.721730 yylex_token: -N
1760719025.721732 yylex_token: end at WS
1760719025.721734 yylex_token: Rotate through the panes
1760719025.721736 yylex_token: end at WS
1760719025.721738 yylex_token: C-o
1760719025.721740 yylex_token: end at WS
1760719025.721742 yylex_token: rotate-window
1760719025.721745 cmd_parse_build_commands 0:0: bind
1760719025.721746 cmd_parse_build_commands 0:1: -N
1760719025.721748 cmd_parse_build_commands 0:2: Rotate through the panes
1760719025.721750 cmd_parse_build_commands 0:3: C-o
1760719025.721752 cmd_parse_build_commands 0:4 0:0: rotate-window
1760719025.721755 cmd_parse_build_commands 0:0: rotate-window
1760719025.721758 args_parse: flags end at 1 of 1
1760719025.721761 cmd_parse_build_commands: rotate-window
1760719025.721763 args_parse_flags: next -N
1760719025.721765 args_parse_flag_argument: -N = Rotate through the panes
1760719025.721767 args_parse_flags: next C-o
1760719025.721769 args_parse: flags end at 3 of 5
1760719025.721771 args_parse: 3 = C-o (type STRING)
1760719025.721773 args_parse: 4 = rotate-window (type COMMANDS)
1760719025.721779 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1760719025.721782 cmdq_get_command: [bind-key/0x13b8083c0] group 10
1760719025.721784 cmdq_append <global>: [bind-key/0x13b8083c0]
1760719025.721786 yylex_token: end at WS
1760719025.721788 yylex_token: bind
1760719025.721790 yylex_token: end at WS
1760719025.721792 yylex_token: -N
1760719025.721795 yylex_token: end at WS
1760719025.721796 yylex_token: Suspend the current client
1760719025.721798 yylex_token: end at WS
1760719025.721800 yylex_token: C-z
1760719025.721802 yylex_token: end at WS
1760719025.721804 yylex_token: suspend-client
1760719025.721807 cmd_parse_build_commands 0:0: bind
1760719025.721808 cmd_parse_build_commands 0:1: -N
1760719025.721810 cmd_parse_build_commands 0:2: Suspend the current client
1760719025.721812 cmd_parse_build_commands 0:3: C-z
1760719025.721815 cmd_parse_build_commands 0:4 0:0: suspend-client
1760719025.721818 cmd_parse_build_commands 0:0: suspend-client
1760719025.721822 args_parse: flags end at 1 of 1
1760719025.721825 cmd_parse_build_commands: suspend-client
1760719025.721828 args_parse_flags: next -N
1760719025.721830 args_parse_flag_argument: -N = Suspend the current client
1760719025.721833 args_parse_flags: next C-z
1760719025.721835 args_parse: flags end at 3 of 5
1760719025.721837 args_parse: 3 = C-z (type STRING)
1760719025.721840 args_parse: 4 = suspend-client (type COMMANDS)
1760719025.721847 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1760719025.721851 cmdq_get_command: [bind-key/0x13b808710] group 18
1760719025.721853 cmdq_append <global>: [bind-key/0x13b808710]
1760719025.721856 yylex_token: end at WS
1760719025.721858 yylex_token: bind
1760719025.721861 yylex_token: end at WS
1760719025.721863 yylex_token: -N
1760719025.721867 yylex_token: end at WS
1760719025.721869 yylex_token: Select next layout
1760719025.721872 yylex_token: end at WS
1760719025.721874 yylex_token: Space
1760719025.721877 yylex_token: end at WS
1760719025.721879 yylex_token: next-layout
1760719025.721882 cmd_parse_build_commands 0:0: bind
1760719025.721889 cmd_parse_build_commands 0:1: -N
1760719025.721892 cmd_parse_build_commands 0:2: Select next layout
1760719025.721895 cmd_parse_build_commands 0:3: Space
1760719025.721897 cmd_parse_build_commands 0:4 0:0: next-layout
1760719025.721900 cmd_parse_build_commands 0:0: next-layout
1760719025.721904 args_parse: flags end at 1 of 1
1760719025.721907 cmd_parse_build_commands: next-layout
1760719025.721909 args_parse_flags: next -N
1760719025.721912 args_parse_flag_argument: -N = Select next layout
1760719025.721914 args_parse_flags: next Space
1760719025.721916 args_parse: flags end at 3 of 5
1760719025.721919 args_parse: 3 = Space (type STRING)
1760719025.721922 args_parse: 4 = next-layout (type COMMANDS)
1760719025.721928 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1760719025.721932 cmdq_get_command: [bind-key/0x13b808b50] group 26
1760719025.721934 cmdq_append <global>: [bind-key/0x13b808b50]
1760719025.721937 yylex_token: end at WS
1760719025.721940 yylex_token: bind
1760719025.721942 yylex_token: end at WS
1760719025.721944 yylex_token: -N
1760719025.721947 yylex_token: end at WS
1760719025.721949 yylex_token: Break pane to a new window
1760719025.721952 yylex_token: end at WS
1760719025.721954 yylex_token: !
1760719025.721957 yylex_token: end at WS
1760719025.721959 yylex_token: break-pane
1760719025.721962 cmd_parse_build_commands 0:0: bind
1760719025.721965 cmd_parse_build_commands 0:1: -N
1760719025.721967 cmd_parse_build_commands 0:2: Break pane to a new window
1760719025.721970 cmd_parse_build_commands 0:3: !
1760719025.721972 cmd_parse_build_commands 0:4 0:0: break-pane
1760719025.721976 cmd_parse_build_commands 0:0: break-pane
1760719025.721979 args_parse: flags end at 1 of 1
1760719025.721982 cmd_parse_build_commands: break-pane
1760719025.721984 args_parse_flags: next -N
1760719025.721987 args_parse_flag_argument: -N = Break pane to a new window
1760719025.721990 args_parse_flags: next !
1760719025.721992 args_parse: flags end at 3 of 5
1760719025.721994 args_parse: 3 = ! (type STRING)
1760719025.721997 args_parse: 4 = break-pane (type COMMANDS)
1760719025.722002 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1760719025.722006 cmdq_get_command: [bind-key/0x13b808f80] group 34
1760719025.722008 cmdq_append <global>: [bind-key/0x13b808f80]
1760719025.722011 yylex_token: end at WS
1760719025.722013 yylex_token: bind
1760719025.722016 yylex_token: end at WS
1760719025.722018 yylex_token: -N
1760719025.722021 yylex_token: end at WS
1760719025.722024 yylex_token: Split window vertically
1760719025.722026 yylex_token: end at WS
1760719025.722029 yylex_token: "
1760719025.722032 yylex_token: end at WS
1760719025.722034 yylex_token: split-window
1760719025.722037 cmd_parse_build_commands 0:0: bind
1760719025.722040 cmd_parse_build_commands 0:1: -N
1760719025.722042 cmd_parse_build_commands 0:2: Split window vertically
1760719025.722045 cmd_parse_build_commands 0:3: "
1760719025.722047 cmd_parse_build_commands 0:4 0:0: split-window
1760719025.722051 cmd_parse_build_commands 0:0: split-window
1760719025.722055 args_parse: flags end at 1 of 1
1760719025.722058 cmd_parse_build_commands: split-window
1760719025.722060 args_parse_flags: next -N
1760719025.722063 args_parse_flag_argument: -N = Split window vertically
1760719025.722066 args_parse_flags: next "
1760719025.722068 args_parse: flags end at 3 of 5
1760719025.722070 args_parse: 3 = " (type STRING)
1760719025.722074 args_parse: 4 = split-window (type COMMANDS)
1760719025.722079 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1760719025.722083 cmdq_get_command: [bind-key/0x13b809200] group 42
1760719025.722085 cmdq_append <global>: [bind-key/0x13b809200]
1760719025.722088 yylex_token: end at WS
1760719025.722091 yylex_token: bind
1760719025.722093 yylex_token: end at WS
1760719025.722096 yylex_token: -N
1760719025.722099 yylex_token: end at WS
1760719025.722102 yylex_token: List all paste buffers
1760719025.722105 yylex_token: end at WS
1760719025.722110 yylex_token: #
1760719025.722113 yylex_token: end at WS
1760719025.722115 yylex_token: list-buffers
1760719025.722118 cmd_parse_build_commands 0:0: bind
1760719025.722121 cmd_parse_build_commands 0:1: -N
1760719025.722124 cmd_parse_build_commands 0:2: List all paste buffers
1760719025.722126 cmd_parse_build_commands 0:3: #
1760719025.722129 cmd_parse_build_commands 0:4 0:0: list-buffers
1760719025.722132 cmd_parse_build_commands 0:0: list-buffers
1760719025.722136 args_parse: flags end at 1 of 1
1760719025.722139 cmd_parse_build_commands: list-buffers
1760719025.722141 args_parse_flags: next -N
1760719025.722144 args_parse_flag_argument: -N = List all paste buffers
1760719025.722146 args_parse_flags: next #
1760719025.722149 args_parse: flags end at 3 of 5
1760719025.722152 args_parse: 3 = # (type STRING)
1760719025.722155 args_parse: 4 = list-buffers (type COMMANDS)
1760719025.722160 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1760719025.722164 cmdq_get_command: [bind-key/0x13b8094d0] group 50
1760719025.722167 cmdq_append <global>: [bind-key/0x13b8094d0]
1760719025.722180 yylex_token: end at WS
1760719025.722183 yylex_token: bind
1760719025.722186 yylex_token: end at WS
1760719025.722188 yylex_token: -N
1760719025.722192 yylex_token: end at WS
1760719025.722196 yylex_token: Rename current session
1760719025.722199 yylex_token: end at WS
1760719025.722203 yylex_token: $
1760719025.722207 yylex_token: end at WS
1760719025.722210 yylex_token: command-prompt
1760719025.722214 yylex_token: end at WS
1760719025.722217 yylex_token: -I#S
1760719025.722221 yylex_token: end at WS
1760719025.722225 yylex_token: rename-session
